date,       local,                             zip_code, product,            volume_gm_ml,   	brand,     price
2021-01-23, boa_vila_hortolandia,              13214302, coco_verde,         1,                 na,        1.99
2021-01-23, boa_vila_hortolandia,              13214302, melao_amarelo,      1.645,             na,        7.05
2021-01-23, boa_vila_hortolandia,              13214302, abacaxi_perola,     1,                 na,        7.75
2021-01-23, boa_vila_hortolandia,              13214302, mamao_papaya,       1,                 na,        4.09
2021-01-23, boa_vila_hortolandia,              13214302, beringela,          0.605,             na,        2.55
2021-01-23, boa_vila_hortolandia,              13214302, batata_rosada,      0.590,             na,        2.94
2021-01-23, boa_vila_hortolandia,              13214302, pimentao_amarelo,   0.390,             na,        2.96
2021-01-23, boa_vila_hortolandia,              13214302, pimentao_vermelho,  0.330,             na,        2.73
2021-01-23, boa_vila_hortolandia,              13214302, abobrinha_italia,   0.375,             na,        1.57
2021-01-23, boa_vila_hortolandia,              13214302, abacate,            0.430,             na,        2.74
2021-01-23, boa_vila_hortolandia,              13214302, tomate_grape,       0.370,             na,        3.94
2021-01-23, boa_vila_hortolandia,              13214302, limao_tahiti,       0.270,             na,        0.64
2021-01-23, boa_vila_hortolandia,              13214302, cebola,             0.795,             na,        2.61
2021-01-23, boa_vila_hortolandia,              13214302, beterraba,          0.270,             na,        0.75
2021-01-16, boa_vila_hortolandia,              13214302, cebola,             0.575,             na,        2.04
2021-01-16, boa_vila_hortolandia,              13214302, beterraba,          0.475,             na,        1.37
2021-01-16, boa_vila_hortolandia,              13214302, pera_packans,       0.450,             na,        4.13
2021-01-16, boa_vila_hortolandia,              13214302, cenoura,            0.140,             na,        0.39
2021-01-16, boa_vila_hortolandia,              13214302, ameixa_nacional,    0.855,             na,        9.99
2021-01-16, boa_vila_hortolandia,              13214302, mamao_papaya,       0.660,             na,        3.16
2021-01-16, boa_vila_hortolandia,              13214302, banana_prata,       1.060,             na,        6.62
2021-01-16, boa_vila_hortolandia,              13214302, abacate,            0.465,             na,        5.09
2021-01-16, boa_vila_hortolandia,              13214302, manga_palmer,       0.485,             na,        2.37
2021-01-16, boa_vila_hortolandia,              13214302, laranja_pera,       3.400,             na,        11.39
2021-01-16, boa_vila_hortolandia,              13214302, tomate_italiano,    0.940,             na,        6.19
2021-02-01, covabra_malota,                    13211685, banana_prata,       1.340,             na,        10.70
2021-02-01, covabra_malota,                    13211685, tomate_italiano,    0.555,             na,        4.43
2021-02-01, covabra_malota,                    13211685, mandioquinha,       0.540,             na,        6.96
2021-02-01, covabra_malota,                    13211685, mamao_papaya,       1.020,             na,        7.12
2021-02-01, covabra_malota,                    13211685, ameixa_nacional,    0.545,             na,        7.03
2021-02-01, covabra_malota,                    13211685, laranja_pera,       3.025,             na,        11.46
2021-02-01, covabra_malota,                    13211685, cenoura,            0.410,             na,        2.04
2021-02-13, boa_vila_hortolandia,              13214302, banana_prata,       0.900,             na,        5.62
2021-02-13, boa_vila_hortolandia,              13214302, mamao_papaya,       0.640,             na,        3.68
2021-02-13, boa_vila_hortolandia,              13214302, tomate_grape,       0.420,             na,        5.49
2021-02-13, boa_vila_hortolandia,              13214302, ameixa_importada,   0.390,             na,        6.49
2021-02-13, boa_vila_hortolandia,              13214302, limao_tahiti,       0.445,             na,        1.98
2021-02-13, boa_vila_hortolandia,              13214302, cebola,             0.375,             na,        1.64
2021-02-13, boa_vila_hortolandia,              13214302, beterraba,          0.530,             na,        1.84
2021-02-13, boa_vila_hortolandia,              13214302, melao_amarelo,      1.845,             na,        9.20
2021-02-06, boa_vila_hortolandia,              13214302, tomate_grape,       0.354,             na,        3.95
2021-02-06, boa_vila_hortolandia,              13214302, cebola,             0.675,             na,        3.09
2021-02-06, boa_vila_hortolandia,              13214302, batata_monalisa,    0.975,             na,        4.57
2021-02-06, boa_vila_hortolandia,              13214302, ameixa_nacional,    0.570,             na,        7.34
2021-02-06, boa_vila_hortolandia,              13214302, tomate_italiano,    0.655,             na,        2.87
2021-02-06, boa_vila_hortolandia,              13214302, banana_prata,       0.705,             na,        4.40
2021-02-06, boa_vila_hortolandia,              13214302, mamao_papaya,       0.515,             na,        2.10
2021-02-06, boa_vila_hortolandia,              13214302, melancia,           3.146,             na,        6.26
2021-02-06, boa_vila_hortolandia,              13214302, mandioquinha,       0.300,             na,        1.94
2021-02-06, boa_vila_hortolandia,              13214302, manga_palmer,       0.620,             na,        3.68
2021-02-06, boa_vila_hortolandia,              13214302, cenoura,            0.175,             na,        0.41
