company;class;symbol;economatica_classification;metric_name;31/03/2016;30/06/2016;30/09/2016;31/12/2016;31/03/2017;30/06/2017;30/09/2017;31/12/2017;31/03/2018;30/06/2018;30/09/2018;31/12/2018;31/03/2019;30/06/2019;30/09/2019;31/12/2019;31/03/2020;30/06/2020;30/09/2020
Menezes Cort;ON;MNZC3B;transport_and_services;net_cash_flow;0;0;0;0;0;0;0;0;2202;1602;2393;0;0;0;0;0;1714;0;0
Menezes Cort;ON;MNZC3B;transport_and_services;operational_expenses;4921;10088;15189;20424;5258;10236;14758;19546;4648;9394;13523;18093;4781;11290;15786;20379;2164;4478;6507
Menezes Cort;ON;MNZC3B;transport_and_services;financial_expenses;114;249;345;506;188;338;474;603;103;205;304;446;95;196;301;377;116;263;738
Menezes Cort;ON;MNZC3B;transport_and_services;financial_revenue;176;301;437;532;112;187;275;413;130;226;379;390;36;118;422;508;50;77;161
Menezes Cort;ON;MNZC3B;transport_and_services;short_term_loans;476;282;189;999;984;983;968;953;938;924;924;923;696;583;561;538;515;550;425
Menezes Cort;ON;MNZC3B;transport_and_services;long_term_loans;0;315;277;1906;1793;1529;1279;1030;779;529;280;30;8;423;297;169;42;0;0
Metal Iguacu;PN;MTIG4;steel_industry;net_revenue;26942;64739;112393;143284;22648;60503;112392;130985;26756;63518;116540;143084;28343;57870;99760;131420;35791;64105;90358
Metal Iguacu;PN;MTIG4;steel_industry;cogs;25939;60306;103019;131916;19594;49244;88447;108659;22935;50728;89592;113395;24065;46795;82467;110558;29847;56705;79581
Metal Iguacu;PN;MTIG4;steel_industry;investment;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;6;6;6
Metal Iguacu;PN;MTIG4;steel_industry;ebitda;1490;4903;6095;1604;2976;12103;16701;26665;29282;15536;20136;15391;16360;15406;8265;3463;3293;1646;2184
Metal Iguacu;PN;MTIG4;steel_industry;net_cash_flow;0;0;698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Metal Iguacu;PN;MTIG4;steel_industry;operational_expenses;159;1273;6283;11896;6645;2095;6154;2315;4672;10285;15297;15717;4645;9609;14996;21812;6585;11238;13833
Metal Iguacu;PN;MTIG4;steel_industry;financial_expenses;3712;8029;11963;15940;5271;10452;14683;24908;3433;7306;11370;14046;2628;6205;10916;15856;5195;10918;18363
Metal Iguacu;PN;MTIG4;steel_industry;financial_revenue;507;844;972;1191;95;136;233;427;128;204;416;497;104;163;241;339;116;212;626
Metal Iguacu;PN;MTIG4;steel_industry;short_term_loans;16939;16357;16526;23740;32586;31384;28895;17263;19181;23245;30692;31581;32587;36459;38594;48803;51195;51733;40163
Metal Iguacu;PN;MTIG4;steel_industry;long_term_loans;13608;1752;3307;2744;3244;2873;4733;11211;9344;8667;8439;12711;14037;12664;13485;13023;12073;12290;29658
Metal Leve;ON;LEVE3;vehicles;net_revenue;574724;1158236;1717378;2236007;540505;1091420;1687942;2264443;618682;1246914;1957248;2591654;623203;1285001;1930534;2526238;573795;934699;1625891
Metal Leve;ON;LEVE3;vehicles;cogs;403131;826021;1236200;1640004;403963;802716;1214285;1635772;445154;895109;1388814;1901643;454330;950999;1418161;1885882;412142;729062;1228721
Metal Leve;ON;LEVE3;vehicles;investment;3048;3048;3009;967;889;708;626;625;610;610;543;512;493;467;435;345;313;280;243
Metal Leve;ON;LEVE3;vehicles;ebitda;379164;365711;332811;117082;90432;109754;156703;405445;443811;446788;463115;466811;468250;470459;450804;440835;411875;282271;241177
Metal Leve;ON;LEVE3;vehicles;net_cash_flow;29040;8144;85919;33206;19088;68228;123659;50409;982;23870;5602;44670;43481;48894;118277;47303;67588;47631;125354
Metal Leve;ON;LEVE3;vehicles;operational_expenses;88931;184653;273493;579796;81466;149801;225604;321193;77367;166201;256571;313116;71252;144520;217528;294915;95419;180386;309889
Metal Leve;ON;LEVE3;vehicles;financial_expenses;64856;131270;162093;209914;41381;75965;107262;136795;26387;100309;167309;191848;39923;69656;121644;157250;131387;213313;253369
Metal Leve;ON;LEVE3;vehicles;financial_revenue;52561;92775;112679;152361;28362;59035;83217;108426;24580;93336;152625;170294;31084;51331;92836;115877;90791;152886;179787
Metal Leve;ON;LEVE3;vehicles;short_term_loans;122432;123903;80139;156287;146678;277502;162647;30987;28405;141451;202506;160381;148053;194233;213722;222700;520719;455064;470895
Metal Leve;ON;LEVE3;vehicles;long_term_loans;274690;360103;403743;343243;376180;194926;265610;144995;151804;144882;138011;131240;217163;207334;198862;196378;243937;177344;168130
Metalfrio;ON;FRIO3;industry_machines;net_revenue;290952;610114;793277;1013663;199334;503507;727289;985748;293208;652824;873667;1196896;369659;796186;1105931;1480776;384585;717668;1058680
Metalfrio;ON;FRIO3;industry_machines;cogs;242208;511340;670040;861387;165629;422245;614691;822757;249747;544827;727845;996464;311631;659196;923863;1231814;309668;585818;870274
Metalfrio;ON;FRIO3;industry_machines;investment;0;0;0;0;0;0;0;0;0;0;0;0;575;551;614;564;659;666;608
Metalfrio;ON;FRIO3;industry_machines;ebitda;76521;80149;83903;86409;77764;73462;77430;101496;100636;118700;121494;117786;129761;132891;138238;174320;187613;165628;168847
Metalfrio;ON;FRIO3;industry_machines;net_cash_flow;8342;12280;11031;64682;33454;46207;30368;154000;119434;29623;128085;138210;5864;18363;133859;149600;169389;76817;182781
Metalfrio;ON;FRIO3;industry_machines;operational_expenses;27884;52586;72333;95182;20235;46655;69478;89803;32118;58863;86104;115183;37350;77138;109660;119934;43974;87248;130500
Metalfrio;ON;FRIO3;industry_machines;financial_expenses;37683;73076;92873;105612;16979;73044;84804;127912;29671;157585;224068;247372;40295;70933;108941;146681;151131;176520;239254
Metalfrio;ON;FRIO3;industry_machines;financial_revenue;40958;78532;88632;87779;25791;20673;45094;37910;5820;91597;158400;178192;42940;47842;64482;102975;13905;16442;30348
Metalfrio;ON;FRIO3;industry_machines;short_term_loans;482699;544973;246122;283738;551049;657259;520451;511197;574457;390329;388450;496063;464229;529757;594138;653424;746848;840281;822052
Metalfrio;ON;FRIO3;industry_machines;long_term_loans;279614;201162;413108;441227;197721;222500;282391;317600;286586;493143;536885;382841;417528;393167;381963;376762;402448;419307;434448
Metisa;PN;MTSA4;steel_industry;net_revenue;49166;113570;174654;218018;51849;114047;184437;240177;57509;132048;213918;270730;65808;144553;227354;288797;71475;161972;269275
Metisa;PN;MTSA4;steel_industry;cogs;40235;90447;134093;167814;42373;90157;143133;184562;44063;97707;157719;204602;51486;114415;176545;224618;51232;113702;188892
Metisa;PN;MTSA4;steel_industry;investment;160;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Metisa;PN;MTSA4;steel_industry;ebitda;11878;9607;10486;10568;11151;12760;13129;15781;18425;24048;27389;24684;26953;22815;23894;28060;33712;58983;68513
Metisa;PN;MTSA4;steel_industry;net_cash_flow;2687;1648;8478;4716;3216;126;8628;772;7428;2831;16515;15896;10956;162;1264;8568;12780;14144;32250
Metisa;PN;MTSA4;steel_industry;operational_expenses;10114;22968;36152;47519;10229;21884;34689;48047;11608;24137;38064;49798;10331;22986;35663;46925;10543;9031;22608
Metisa;PN;MTSA4;steel_industry;financial_expenses;7330;13748;16797;21098;2973;5914;8249;10448;2380;8282;13975;18066;2126;3939;8963;13534;17085;24841;31119
Metisa;PN;MTSA4;steel_industry;financial_revenue;12177;21502;28333;36272;5538;9555;14614;18258;4833;9257;16532;23196;4482;8046;12428;20164;6865;32785;39418
Metisa;PN;MTSA4;steel_industry;short_term_loans;98622;86343;76075;78660;53602;68577;18721;26302;22816;27703;32114;21338;18200;22783;51345;37827;56510;44449;49358
Metisa;PN;MTSA4;steel_industry;long_term_loans;39601;39601;0;0;0;0;0;0;0;0;0;100;254;220;277;229;182;135;87
Mills;ON;MILS3;other;net_revenue;130083;235434;321575;396617;66120;136760;218813;291265;78987;150600;233748;304189;71046;171500;300931;439465;126097;224404;358197
Mills;ON;MILS3;other;cogs;90522;168205;239471;313623;67609;136926;215425;289958;69534;131053;219969;272002;52530;126954;203172;282493;75942;143205;228157
Mills;ON;MILS3;other;investment;61200;61200;61200;75052;75052;75052;75052;55234;55234;55234;55234;54451;54451;54451;54451;50579;50579;50579;50579
Mills;ON;MILS3;other;ebitda;85695;47350;23823;40903;4301;29816;36016;43240;18802;12527;17882;271;13865;0;0;119279;0;143309;146727
Mills;ON;MILS3;other;net_cash_flow;67735;27016;47006;8901;9030;7657;27071;7950;15938;10866;1735;12201;23474;0;5793;30447;35851;47322;17641
Mills;ON;MILS3;other;operational_expenses;51068;104800;147828;201116;53013;102812;137203;190267;35398;83199;108454;158600;28881;71958;140520;199960;47662;94106;136290
Mills;ON;MILS3;other;financial_expenses;25178;46946;65863;81810;14965;28655;37532;45404;7799;16169;22481;27278;6684;14788;21993;27973;8069;14755;21053
Mills;ON;MILS3;other;financial_revenue;12551;27094;41139;55540;11658;20870;27797;31848;4120;8373;11545;14451;3199;6525;10372;13917;4740;7935;11497
Mills;ON;MILS3;other;short_term_loans;196711;168198;162702;159735;165553;162659;126239;125276;130851;131484;124847;125729;141125;100570;97419;99131;106046;96520;49157
Mills;ON;MILS3;other;long_term_loans;434347;369578;290146;290353;291114;224419;173843;174099;174298;108185;55925;55456;99047;122164;55369;51081;137115;145477;128188
Minasmaquinas;PN;MMAQ4;retail;net_revenue;45443;95326;150725;204233;52149;107909;183424;267167;66101;123224;194731;286385;109757;236373;356488;450766;126758;234569;378333
Minasmaquinas;PN;MMAQ4;retail;cogs;40616;85725;135835;183992;47199;98042;167947;245571;60779;112033;175718;256620;100931;217482;328014;414171;118960;219019;348556
Minasmaquinas;PN;MMAQ4;retail;investment;7435;7743;7796;7764;2600;2588;2614;2641;2712;2768;2887;2899;2972;3028;3039;3076;3142;3143;3200
Minasmaquinas;PN;MMAQ4;retail;ebitda;8341;8403;8089;8779;5429;4204;7081;10095;12850;13672;12694;13399;19849;23610;24066;40973;37364;32387;38761
Minasmaquinas;PN;MMAQ4;retail;net_cash_flow;1258;15176;18970;324;1170;4602;12278;2400;11974;6482;377;13179;18653;3672;4495;5576;7689;13653;12096
Minasmaquinas;PN;MMAQ4;retail;operational_expenses;453;2884;6303;12254;3940;7744;8663;12425;1624;5631;9789;17539;1135;3504;9164;2393;1590;9116;13271
Minasmaquinas;PN;MMAQ4;retail;financial_expenses;77;207;279;350;112;188;247;313;72;136;347;626;281;581;815;1044;446;1020;1454
Minasmaquinas;PN;MMAQ4;retail;financial_revenue;1822;3269;5090;9432;1633;2980;4235;7289;2617;3313;8530;11052;1237;2301;3638;4862;1053;2116;3085
Minasmaquinas;PN;MMAQ4;retail;short_term_loans;10;6;1;0;0;0;0;0;0;0;2648;2652;2634;2641;2579;2984;3029;3018;3023
Minasmaquinas;PN;MMAQ4;retail;long_term_loans;0;0;0;0;0;0;0;0;0;0;7500;6875;6250;5625;5000;5855;5151;4362;3627
Minerva;ON;BEEF3;food_and_beverages;net_revenue;2337606;4558568;7092266;9648670;2141939;4721227;8139041;12103789;3531353;7267095;11604771;16214909;3727613;7751982;12263165;17122825;4167074;8566276;13703383
Minerva;ON;BEEF3;food_and_beverages;cogs;1852471;3621880;5664554;7763328;1730836;3805621;6603312;9866736;2952232;6012017;9527265;13366616;3067004;6362998;10037646;13830264;3416446;6796410;10925844
Minerva;ON;BEEF3;food_and_beverages;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minerva;ON;BEEF3;food_and_beverages;ebitda;1059733;1081772;1052835;967353;913374;952118;999117;1134561;1200590;662744;815676;896244;941923;1566418;1571720;1726076;1791432;2004802;2090329
Minerva;ON;BEEF3;food_and_beverages;net_cash_flow;168045;143337;221243;312367;6795;17528;576074;209069;138656;344933;360399;296805;211492;228298;893240;177799;1622454;661171;823543
Minerva;ON;BEEF3;food_and_beverages;operational_expenses;253748;487921;749712;998356;238696;493661;851043;1247512;366756;1358815;1780342;2173781;427556;847318;1296635;1830479;452299;975724;1524308
Minerva;ON;BEEF3;food_and_beverages;financial_expenses;456541;869219;1125987;1415678;298804;535071;832202;1294858;352397;1535013;2085151;2569485;300802;712854;1188849;1659077;594358;749791;773190
Minerva;ON;BEEF3;food_and_beverages;financial_revenue;330988;669424;712135;779272;166164;80526;221913;104216;16208;34042;54070;85958;38317;35623;50064;64385;586143;540112;181277
Minerva;ON;BEEF3;food_and_beverages;short_term_loans;1724646;1321080;1263689;1397051;1205988;2307011;2210617;2187470;2700441;2721287;3116500;3644273;2882594;2269772;2026777;2867602;2165703;2113812;1772948
Minerva;ON;BEEF3;food_and_beverages;long_term_loans;4871759;4459999;5469429;5430652;5310377;6054840;5960071;7419538;7084128;8346288;8272117;6823301;7126848;6990181;7732274;7610124;9554776;10141178;10286309
Minupar;ON;MNPR3;food_and_beverages;net_revenue;51528;100660;149489;196298;47779;96242;149467;190423;49257;101347;157519;199562;57258;115677;175100;235584;62914;120699;185357
Minupar;ON;MNPR3;food_and_beverages;cogs;39678;80752;120173;159391;39436;79394;119686;154623;39961;81435;123653;154817;39741;81445;125117;168746;43357;83008;129964
Minupar;ON;MNPR3;food_and_beverages;investment;16762;16761;16761;16761;16761;16761;16761;31217;31217;31217;31174;31162;30810;30352;30328;26488;26484;26470;26022
Minupar;ON;MNPR3;food_and_beverages;ebitda;32509;30968;30418;30681;25603;25973;25702;11553;12486;7628;10255;15665;19762;31040;30090;39285;44500;37014;40227
Minupar;ON;MNPR3;food_and_beverages;net_cash_flow;2492;2433;3581;619;691;2467;4968;2935;447;999;1363;792;638;643;1349;1071;730;1895;2915
Minupar;ON;MNPR3;food_and_beverages;operational_expenses;2768;6655;11461;13497;4098;7809;16170;30583;4066;14684;21320;35096;8250;13609;23001;33554;4956;19227;27280
Minupar;ON;MNPR3;food_and_beverages;financial_expenses;9359;18757;27992;36855;7738;14330;26965;31809;6972;13729;19024;77094;6442;12876;22406;66283;4921;10076;15504
Minupar;ON;MNPR3;food_and_beverages;financial_revenue;37;57;79;113;37;243;243;392;51;453;643;418;21;424;1431;723;7241;8434;11601
Minupar;ON;MNPR3;food_and_beverages;short_term_loans;1848;1672;268;229;214;197;175;156;139;331;288;229;152;42;90;90;90;91;389
Minupar;ON;MNPR3;food_and_beverages;long_term_loans;2547;2370;2192;2016;1854;1675;1494;1317;1151;761;614;468;339;219;410;387;365;351;335
Mitre;ON;MTRE3;real_state;net_revenue;0;0;0;0;0;0;0;0;0;0;0;150237;46845;129042;189757;311852;48012;113088;256492
Mitre;ON;MTRE3;real_state;cogs;0;0;0;0;0;0;0;0;0;0;0;97158;30509;86270;124019;212623;34147;78487;169382
Mitre;ON;MTRE3;real_state;investment;0;0;0;0;0;0;0;0;0;0;0;3006;3208;11483;8957;10374;16078;17331;259
Mitre;ON;MTRE3;real_state;ebitda;0;0;0;0;0;0;0;0;0;0;0;23009;0;0;0;43729;33654;18307;39072
Mitre;ON;MTRE3;real_state;net_cash_flow;0;0;0;0;0;0;0;0;0;0;0;0;31414;2267;20061;19674;8639;31324;9405
Mitre;ON;MTRE3;real_state;operational_expenses;0;0;0;0;0;0;0;0;0;0;0;32168;9408;17872;32198;57039;17091;35442;60207
Mitre;ON;MTRE3;real_state;financial_expenses;0;0;0;0;0;0;0;0;0;0;0;2454;977;2322;4779;6838;2367;3252;7138
Mitre;ON;MTRE3;real_state;financial_revenue;0;0;0;0;0;0;0;0;0;0;0;1207;477;1001;1864;2378;4;9790;11550
Mitre;ON;MTRE3;real_state;short_term_loans;0;0;0;0;0;0;0;0;0;0;0;11124;42403;96426;96273;104674;62543;54220;37397
Mitre;ON;MTRE3;real_state;long_term_loans;0;0;0;0;0;0;0;0;0;0;0;103245;101871;44767;30172;17293;18330;10202;15929
MMX Miner;ON;MMXM3;mining;net_revenue;0;0;0;2723;0;0;158;454;201;183;1849;2699;998;1251;1251;1251;256;256;256
MMX Miner;ON;MMXM3;mining;cogs;8;7;3;10244;0;0;166;474;158;158;274;3085;1211;1515;1515;1515;262;262;262
MMX Miner;ON;MMXM3;mining;investment;0;0;0;9817;9817;9817;9817;9817;9817;9817;9817;9817;9817;9817;9817;9925;9817;9817;9817
MMX Miner;ON;MMXM3;mining;ebitda;450853;487410;96477;412527;427356;421712;444895;14530;27841;28265;28192;45249;41022;103144;99134;81532;81122;11590;11019
MMX Miner;ON;MMXM3;mining;net_cash_flow;12326;7196;5303;10045;3334;4313;1295;3501;2109;905;318;611;195;882;566;407;441;599;80
MMX Miner;ON;MMXM3;mining;operational_expenses;6978;9071;36932;419345;7947;227;4335;14946;5305;13332;19320;44937;777;70864;71292;81268;574;1180;1037
MMX Miner;ON;MMXM3;mining;financial_expenses;24221;36068;63505;80503;16201;32995;42532;53829;10052;46628;64594;95481;15636;29292;62154;67418;73934;96729;113958
MMX Miner;ON;MMXM3;mining;financial_revenue;27127;46457;71204;84273;18655;24529;37508;39388;7563;15294;22960;30625;8147;19176;24673;30962;5659;10241;13597
MMX Miner;ON;MMXM3;mining;short_term_loans;4862;128079;131030;133532;131469;138597;134459;142056;142947;167916;176040;172412;175162;174170;190796;186756;241649;256802;267027
MMX Miner;ON;MMXM3;mining;long_term_loans;134934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mobly;ON;MBLY3;retail;net_revenue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407001;113726;240524;420753
Mobly;ON;MBLY3;retail;cogs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241021;68249;143955;248341
Mobly;ON;MBLY3;retail;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Mobly;ON;MBLY3;retail;ebitda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mobly;ON;MBLY3;retail;net_cash_flow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mobly;ON;MBLY3;retail;operational_expenses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192210;52190;107463;176764
Mobly;ON;MBLY3;retail;financial_expenses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23422;5984;10905;17090
Mobly;ON;MBLY3;retail;financial_revenue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11419;1843;3350;4876
Mobly;ON;MBLY3;retail;short_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47087;46819;50217;16794
Mobly;ON;MBLY3;retail;long_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33658;24663;23536;35908
Mont Aranha;ON;MOAR3;other;net_revenue;914;1807;2886;3553;1193;2303;4028;2758;554;1782;2435;3672;1451;652;1062;1128;67;421;108446
Mont Aranha;ON;MOAR3;other;cogs;0;0;0;0;0;0;591;792;202;202;404;404;202;202;202;202;0;202;110399
Mont Aranha;ON;MOAR3;other;investment;896861;1013433;980875;943869;994503;961252;986135;988947;970697;890236;882305;914634;908167;903399;979012;973360;754272;764320;724308
Mont Aranha;ON;MOAR3;other;ebitda;82163;174080;294177;307712;275133;169519;201254;99587;0;0;0;20996;7394;71064;91550;54135;153811;132535;132104
Mont Aranha;ON;MOAR3;other;net_cash_flow;18561;20468;9286;44451;42906;12858;36643;0;26105;30846;76459;1260;59228;108400;16828;169813;143292;108746;40690
Mont Aranha;ON;MOAR3;other;operational_expenses;87136;192166;232529;303271;54272;53467;125508;96726;482;61159;50105;17287;14142;10219;21229;52239;220895;196640;162174
Mont Aranha;ON;MOAR3;other;financial_expenses;114124;199973;231627;256093;14769;17378;45208;54329;20118;30026;44616;139901;42875;63390;119686;225263;170844;322044;361422
Mont Aranha;ON;MOAR3;other;financial_revenue;45999;100446;119092;145796;20733;46864;62215;101981;11188;89973;134685;199044;70869;100747;173089;299808;220462;395512;456998
Mont Aranha;ON;MOAR3;other;short_term_loans;0;0;0;0;0;0;8946;11504;12691;7862;7946;8041;8128;24804;50947;105484;134165;102168;74487
Mont Aranha;ON;MOAR3;other;long_term_loans;25889;26102;31507;44568;52747;59537;50695;51245;47591;51100;49664;146433;143532;125505;103423;249069;249069;200000;200000
Mosaico SA;ON;MOSI3;retail;net_revenue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113892;43256;102143;160735
Mosaico SA;ON;MOSI3;retail;cogs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10740;3733;8285;12752
Mosaico SA;ON;MOSI3;retail;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mosaico SA;ON;MOSI3;retail;ebitda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56858;0;0;0
Mosaico SA;ON;MOSI3;retail;net_cash_flow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3082;31221;3679
Mosaico SA;ON;MOSI3;retail;operational_expenses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48194;25389;58929;95901
Mosaico SA;ON;MOSI3;retail;financial_expenses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1754;1739;2920;4277
Mosaico SA;ON;MOSI3;retail;financial_revenue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;731;201;551;919
Mosaico SA;ON;MOSI3;retail;short_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1673;1673;1673;11048
Mosaico SA;ON;MOSI3;retail;long_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47488;46452;46556;37282
Moura Dubeux;ON;MDNE3;real_state;net_revenue;199616;375811;505916;602816;163397;336609;465825;609610;142695;309679;315998;359960;167667;266240;311097;407765;66324;124450;322938
Moura Dubeux;ON;MDNE3;real_state;cogs;136007;293026;438118;523006;154216;246855;372302;436681;89834;177997;257379;289288;90890;159343;169393;245840;54318;96033;235558
Moura Dubeux;ON;MDNE3;real_state;investment;351026;417516;493019;397088;368230;339259;345867;340526;407377;436558;369816;362104;362731;362735;284678;284479;297349;305918;309257
Moura Dubeux;ON;MDNE3;real_state;ebitda;160437;167296;185428;3619;44510;28293;82192;107231;130955;124231;51404;45243;7123;56496;49956;93149;28449;75638;64898
Moura Dubeux;ON;MDNE3;real_state;net_cash_flow;20154;45887;39810;7849;2347;26964;15805;102185;38018;57879;54423;62716;65560;24326;58939;41135;8990;8341;81683
Moura Dubeux;ON;MDNE3;real_state;operational_expenses;25177;368;44434;92016;14759;35025;58638;84695;34254;58508;78906;125267;19736;44504;64781;71705;19518;134684;168231
Moura Dubeux;ON;MDNE3;real_state;financial_expenses;30619;61330;85697;116906;41126;85207;121717;147588;41939;81931;114627;157480;55432;117940;158322;205024;27406;29726;39009
Moura Dubeux;ON;MDNE3;real_state;financial_revenue;7253;10325;15458;22815;2421;4728;9473;16212;2921;4839;13519;18295;9457;17293;23941;25299;3827;10281;13495
Moura Dubeux;ON;MDNE3;real_state;short_term_loans;631103;709650;613275;796831;729857;531684;664336;767199;1124621;1101402;1116955;1123398;1133438;1092057;1015954;850081;113313;136486;90608
Moura Dubeux;ON;MDNE3;real_state;long_term_loans;639754;634183;684107;504496;578037;748930;623941;509084;160907;145142;91882;81939;70902;88205;139525;291808;117073;89901;76764
Movida;ON;MOVI3;other;net_revenue;421300;901468;1400151;1893180;615111;1205615;1881319;2467983;604151;1214013;1825555;2538599;812529;1768712;2729498;3836044;1011166;2058990;3094558
Movida;ON;MOVI3;other;cogs;318386;696647;1074688;1448915;446710;887268;1402853;1823113;421643;831383;1238385;1731963;600222;1354686;2072657;2896435;758942;1648940;2465068
Movida;ON;MOVI3;other;investment;0;0;0;0;0;0;0;0;0;0;1027;1043;1059;1076;1093;1107;1118;1127;1233
Movida;ON;MOVI3;other;ebitda;256671;260804;265184;269127;280675;288617;295081;326847;343834;390518;425740;481738;528981;565599;637937;746559;576415;572819;594168
Movida;ON;MOVI3;other;net_cash_flow;106865;199341;95149;164925;384413;43760;527795;82589;139214;624221;209652;96163;214480;541078;624353;155349;80753;393233;6064
Movida;ON;MOVI3;other;operational_expenses;50365;110082;177230;252983;100717;197388;292142;392762;99187;201149;314689;426909;113133;215206;334839;471421;380038;488051;613344
Movida;ON;MOVI3;other;financial_expenses;45546;90507;151604;192355;46135;94139;154301;217682;55030;108458;163783;219136;58623;118277;191093;244623;72308;145539;219636
Movida;ON;MOVI3;other;financial_revenue;13274;24960;51130;50433;9775;22110;38502;55887;9560;22080;35839;46351;12915;22516;44142;57293;27155;54544;91227
Movida;ON;MOVI3;other;short_term_loans;606467;403156;590668;511157;611974;636745;1127710;823628;838692;728814;174860;483380;637171;639071;769283;647212;633058;773187;760355
Movida;ON;MOVI3;other;long_term_loans;542160;526704;512915;529029;615415;750193;826682;1037412;879477;1580868;1888288;1782552;1887599;2650786;2571767;2496973;2635963;2944954;3045627
Mrs Logist;ON;MRSA3B;transport_and_services;net_revenue;749218;1581555;2469568;3279420;798330;1692282;2588815;3492805;820628;1732202;2733791;3726448;827061;1642617;2499115;3200809;674725;1603235;2614613
Mrs Logist;ON;MRSA3B;transport_and_services;cogs;514726;1061738;1635014;2208786;560503;1125475;1695291;2307108;574924;1194829;1828619;2476486;616113;1188895;1780226;2377782;623048;1221117;1847542
Mrs Logist;ON;MRSA3B;transport_and_services;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mrs Logist;ON;MRSA3B;transport_and_services;ebitda;1388100;1403582;1465804;1470212;1369628;1440293;1483533;1469404;1446533;1421425;1445556;1543218;1696643;1786882;1950723;1963870;1762960;1786719;1742118
Mrs Logist;ON;MRSA3B;transport_and_services;net_cash_flow;116697;222484;139207;173043;11069;163255;212899;57683;49182;96787;272256;116756;122287;50528;246467;29847;444997;271949;119921
Mrs Logist;ON;MRSA3B;transport_and_services;operational_expenses;83055;3615;92796;160187;23842;85711;145206;283151;62352;120713;206954;311330;48598;49445;151049;219617;71853;157087;236017
Mrs Logist;ON;MRSA3B;transport_and_services;financial_expenses;125381;245866;461111;592499;88058;153341;253193;317717;93513;215054;345316;424991;141798;275489;457889;597400;305404;490478;658455
Mrs Logist;ON;MRSA3B;transport_and_services;financial_revenue;59692;116698;277531;343199;33357;50432;105438;130422;45581;124936;219486;270735;60392;130690;219756;312489;192529;352235;438904
Mrs Logist;ON;MRSA3B;transport_and_services;short_term_loans;823722;799734;799524;653491;677562;696777;772827;672332;629541;650777;458021;430601;322622;651520;695379;714499;1029845;665702;780639
Mrs Logist;ON;MRSA3B;transport_and_services;long_term_loans;2654554;2542353;2365145;2176357;2006377;2189349;1907713;2056497;1904431;1890612;2051460;2076253;2162706;2487796;2458368;2351023;2166466;2483131;2390238
MRV;ON;MRVE3;real_state;net_revenue;990031;2086940;3182515;4249049;1014053;2142669;3387663;4759888;1229206;2546339;3898151;5418995;1508589;3067099;4636085;6055722;1508468;3164399;4944239
MRV;ON;MRVE3;real_state;cogs;664322;1409599;2152387;2862270;673445;1417274;2237805;3147749;815223;1693461;2598635;3620489;1026484;2107172;3213713;4213455;1084471;2272698;3552574
MRV;ON;MRVE3;real_state;investment;732454;703413;675688;783477;760616;847851;1085264;1073855;1056886;1046428;1062115;46468;28531;89545;80572;75675;1480426;1672040;1865463
MRV;ON;MRVE3;real_state;ebitda;549168;516818;508098;496405;501546;527783;627163;715699;774745;821479;791938;805611;850563;865542;864002;827839;758958;725556;732921
MRV;ON;MRVE3;real_state;net_cash_flow;158790;118374;52647;11638;93352;16360;44051;65022;40903;93661;245975;11249;48329;36855;152500;8147;382475;100671;144384
MRV;ON;MRVE3;real_state;operational_expenses;218058;453420;688277;931951;231578;476950;685947;945626;245527;503359;769769;1056570;276519;561360;848778;1101591;290250;602108;928709
MRV;ON;MRVE3;real_state;financial_expenses;19288;36664;49088;62634;27286;68785;102787;144348;28570;55219;77803;102907;13118;29031;44618;58119;16074;39823;66856
